Date,Product,Category,Region,Orders,Quantity,Revenue,Cost,Profit
2025-01-01,AlphaPhone,Electronics,West,120,120,12000,8000,4000
2025-01-02,AlphaPhone,Electronics,West,130,130,13000,8500,4500
2025-01-03,AlphaPhone,Electronics,West,125,125,12500,8200,4300
2025-01-04,BetaWatch,Electronics,East,80,80,8000,5400,2600
2025-01-05,GammaBag,Fashion,West,60,60,3000,1800,1200
2025-01-06,GammaBag,Fashion,West,58,58,2900,1750,1150
2025-01-07,DeltaLamp,Home,South,40,40,2000,900,1100
2025-01-08,AlphaPhone,Electronics,West,140,140,14000,9000,5000
2025-01-09,BetaWatch,Electronics,East,75,75,7500,5000,2500
2025-01-10,OmegaShoe,Fashion,North,95,95,3800,2200,1600
2025-01-11,AlphaPhone,Electronics,West,135,135,13500,8700,4800
2025-01-12,GammaBag,Fashion,West,62,62,3100,1900,1200
2025-01-13,DeltaLamp,Home,South,42,42,2100,950,1150
2025-01-14,AlphaPhone,Electronics,West,128,128,12800,8300,4500
2025-01-15,BetaWatch,Electronics,East,70,70,7000,4700,2300
2025-01-16,OmegaShoe,Fashion,North,100,100,4000,2300,1700
2025-01-17,AlphaPhone,Electronics,West,300,300,30000,19000,11000
2025-01-18,AlphaPhone,Electronics,West,120,120,12000,8000,4000
2025-01-19,GammaBag,Fashion,West,59,59,2950,1740,1210
2025-01-20,DeltaLamp,Home,South,41,41,2050,920,1130
2025-01-21,AlphaPhone,Electronics,West,118,118,11800,7950,3850
2025-01-22,BetaWatch,Electronics,East,68,68,6800,4600,2200
2025-01-23,OmegaShoe,Fashion,North,98,98,3900,2250,1650
2025-01-24,AlphaPhone,Electronics,West,115,115,11500,7700,3800
2025-01-25,GammaBag,Fashion,West,57,57,2800,1700,1100
2025-01-26,DeltaLamp,Home,South,39,39,1950,880,1070
2025-01-27,AlphaPhone,Electronics,West,112,112,11200,7500,3700
2025-01-28,BetaWatch,Electronics,East,65,65,6500,4400,2100
2025-01-29,OmegaShoe,Fashion,North,96,96,3800,2200,1600
2025-01-30,AlphaPhone,Electronics,West,110,110,11000,7400,3600
2025-01-31,GammaBag,Fashion,West,55,55,2700,1650,1050
2025-02-01,DeltaLamp,Home,South,38,38,1900,860,1040
2025-02-02,AlphaPhone,Electronics,West,105,105,10500,7100,3400
2025-02-03,BetaWatch,Electronics,East,60,60,6000,4100,1900
2025-02-04,AlphaPhone,Electronics,West,90,90,9000,6000,3000
2025-02-05,AlphaPhone,Electronics,West,85,85,8500,5700,2800
2025-02-06,AlphaPhone,Electronics,West,83,83,8300,5600,2700
2025-02-07,AlphaPhone,Electronics,West,80,80,8000,5400,2600
2025-02-08,AlphaPhone,Electronics,West,200,200,20000,12500,7500
2025-02-09,GammaBag,Fashion,West,30,30,1500,900,600
2025-02-10,DeltaLamp,Home,South,20,20,1000,450,550
2025-02-11,OmegaShoe,Fashion,North,25,25,1000,600,400
2025-02-12,AlphaPhone,Electronics,West,88,88,8800,5800,3000
2025-02-13,BetaWatch,Electronics,East,58,58,5800,4000,1800
